Train_Size,Easy,Ambiguous,Hard,Test_Loss
500,450,15,35,0.6885666251182556
750,700,0,50,0.554435670375824
1000,930,70,0,0.5087103843688965
1250,864,264,122,0.444122165441513
1500,885,540,75,0.4898006916046142
1750,1496,136,118,0.4677337110042572
2000,1340,580,80,0.4642650187015533
2250,1870,198,182,0.4246728420257568
2500,1475,900,125,0.4465295374393463
2750,1674,999,77,0.4612846076488495
3000,1230,1680,90,0.4221276044845581
500,370,105,25,0.7026511430740356
500,265,210,25,0.6898499131202698
750,371,315,64,0.5343212485313416
750,329,385,36,0.5376870632171631
1000,670,280,50,0.440801739692688
1000,640,340,20,0.5083202719688416
1250,876,348,26,0.4665000140666961
1250,708,468,74,0.4445110857486725
1500,810,615,75,0.4889068305492401
1500,930,540,30,0.4629034698009491
1750,1258,442,50,0.4560146331787109
1750,1156,459,135,0.4407579004764557
2000,1200,780,20,0.4354562163352966
2000,1220,700,80,0.4668740928173065
2250,1628,374,248,0.4357517957687378
2250,1760,418,72,0.4618451595306396
2500,2050,325,125,0.4548156261444092
2500,1850,525,125,0.4593282639980316
2750,1242,1404,104,0.4376313090324402
2750,1458,1107,185,0.4494728446006775
3000,1410,1500,90,0.4547626078128814
3000,1350,1590,60,0.4442677497863769
500,400,75,25,0.6923775672912598
500,460,40,0,0.7038680911064148
750,630,84,36,0.5671626925468445
750,518,231,1,0.5593545436859131
1000,680,280,40,0.4977467060089111
1000,670,250,80,0.5326831340789795
1250,564,636,50,0.4950221180915832
1250,1044,192,14,0.4913066029548645
1500,1140,285,75,0.4747264087200165
1500,1335,75,90,0.4834218025207519
1750,816,850,84,0.465258240699768
1750,1224,476,50,0.4680685698986053
2000,920,980,100,0.4464417099952698
2000,1560,400,40,0.4674078226089477
2250,1364,858,28,0.4565237462520599
2250,1496,594,160,0.4545180797576904
500,480,0,20,0.6936104893684387
750,497,231,22,0.5518990159034729
1000,690,280,30,0.4738417267799377
1250,888,252,110,0.462240606546402
1500,1020,435,45,0.4635353088378906
1750,1479,204,67,0.4347664415836334
2000,980,940,80,0.4722343385219574
2250,1848,352,50,0.4435879290103912
2500,1325,975,200,0.4554435014724731
2500,1375,1100,25,0.4416568875312805
2500,1775,575,150,0.4609322845935821
2750,1215,1485,50,0.4281968176364898
2750,2106,594,50,0.4512181282043457
2750,1647,810,293,0.4382775425910949
3000,1590,1080,330,0.4383517205715179
3000,2490,420,90,0.4558464884757995
3000,1650,1200,150,0.4210140407085418
500,285,190,25,0.6578734517097473
500,465,25,10,0.6729109287261963
500,420,75,5,0.6865877509117126
500,440,30,30,0.6895564198493958
750,539,175,36,0.512514054775238
750,553,168,29,0.5747500658035278
750,644,49,57,0.5606955885887146
750,742,7,1,0.5525076985359192
1000,640,350,10,0.5040827989578247
1000,800,170,30,0.4784116148948669
1000,740,240,20,0.5089407563209534
1000,840,100,60,0.4940198063850403
1250,972,264,14,0.4950713217258453
1250,936,276,38,0.4810325503349304
1250,852,348,50,0.5086439847946167
1250,888,360,2,0.4925866723060608
1500,1170,270,60,0.4527331590652466
1500,1275,195,30,0.4765418767929077
1500,1095,405,0,0.4708330929279327
1500,975,510,15,0.4584054052829742
1750,1258,442,50,0.4557797908782959
1750,748,918,84,0.4227336049079895
1750,901,816,33,0.4476102292537689
1750,1054,612,84,0.4523267149925232
2000,980,740,280,0.4256633520126343
2000,1440,380,180,0.4318540394306183
2000,1180,700,120,0.4697462022304535
2000,780,900,320,0.4768313765525818
2250,1540,506,204,0.4637177586555481
2250,1540,528,182,0.4557389318943023
2250,1804,352,94,0.4433434903621673
2250,1012,1122,116,0.444864422082901
2500,1775,500,225,0.4318834543228149
2500,2100,225,175,0.4540937840938568
2500,1175,1300,25,0.4581700563430786
2500,1250,1150,100,0.4104766547679901
2750,972,1647,131,0.4372396767139435
2750,1620,945,185,0.4381014704704284
2750,972,1566,212,0.4547348320484161
2750,1485,1107,158,0.4344486892223358
3000,1320,1230,450,0.4544115662574768
3000,1860,930,210,0.4545644521713257
3000,1770,1050,180,0.4622365236282348
3000,780,2220,0,0.4510015845298767
500,295,155,50,0.6865708231925964
500,465,15,20,0.6101158261299133
750,623,119,8,0.5672652125358582
750,567,140,43,0.567103922367096
1000,760,200,40,0.5278092622756958
1000,760,240,0,0.4815625548362732
1250,804,396,50,0.4770636558532715
1250,1116,132,2,0.5165335536003113
1500,1230,270,0,0.4502699077129364
1500,1005,465,30,0.4618604779243469
1750,1598,68,84,0.4407973289489746
1750,1445,255,50,0.44362977147102356
2000,920,1060,20,0.4563499093055725
2000,1320,660,20,0.43050989508628845
2250,1804,396,50,0.46346768736839294
2250,1518,484,248,0.44913893938064575
